상호명,전화번호,주소
서울으뜸치과의원,02-883-2876,서울 관악구 은천로 109 한독빌딩 4층
열린수치과의원,02-874-3100,서울 관악구 관악로40길 47 현대종합상가 A동 402호
도경치과의원,02-878-7615,서울 관악구 신림로 202 2층
난곡치과의원,02-855-6951,서울 관악구 난곡로 197 남강빌딩 4층
경치과의원,02-877-5123,서울 관악구 남부순환로 1764
한솔치과의원,02-885-9375,서울 관악구 신림로 202
연치과의원,02-837-2275,서울 관악구 난곡로 305 2층
오민구치과의원,02-6334-2875,서울 관악구 성현로 80 203동 212호
현대치과의원,02-885-2804,서울 관악구 남부순환로 1734 주원빌딩 3층
진승재치과의원,02-859-7115,서울 관악구 남부순환로172길 1 2층
유춘배치과의원,02-878-5360,서울 관악구 남부순환로 1938
이편한치과의원,02-889-2904,서울 관악구 신림로 318 두산위브클리닉센터 6층
하나치과의원,02-861-7799,서울 관악구 난곡로 50 자연빌딩 3층 301호
남현연세치과의원,02-581-0116,서울 관악구 남부순환로 2056
두산열린치과의원,02-3285-7582,서울 관악구 봉천로 391 두산아파트 상가 2층
퍼스트왕치과의원,02-858-2080,서울 관악구 난곡로 98 파로스프라자 B동 206~207호
서울수치과의원,02-3471-2882,서울 관악구 남부순환로 2062 2층
필립포스치과의원,02-3285-8270,서울 관악구 봉천로 462 은일빌딩 4층
관악전치과의원,02-889-8038,서울 관악구 남부순환로 1917
윤형철치과,02-830-0220,서울 관악구 조원로16길 34
사랑의치과의원,02-882-7575,서울 관악구 남부순환로 1862
최선애치과의원,02-886-2828,서울 관악구 관악로 208 3층
하이치과의원,02-521-1550,서울 동작구 사당로2가길 102 사당자이아파트 상가동 2층 12호
서울미소치과의원,02-598-2875,서울 동작구 사당로 196
서울더원플러스 치과의원,02-6747-2875,서울 동작구 사당로 222 김정문알로에 2-3층
서울이안치과,02-584-8585,서울 동작구 사당로 216
연세부부치과의원,02-583-0652,"서울 동작구 사당로 224 지하1층,5층"
연세윤치과의원,02-525-2870,서울 동작구 사당로16길 14 2층
서울봄치과의원,02-592-2872,서울 동작구 사당로 219 3층
제이든치과의원,02-3474-3984,서울 동작구 사당로13길 31 3층
한마음치과의원,02-582-2835,서울 동작구 사당로16길 35 남서울농협남성지점 2층 2호
자작나무치과의원,02-825-7522,서울 동작구 상도로 347 2층
e하임치과의원,02-3486-2875,서울 동작구 사당로 234 4층
연세채움치과의원,02-822-5753,서울 동작구 상도로 356 5층
서울본치과,02-3280-2875,서울 동작구 상도로53길 13
서울민치과의원,02-3482-2853,서울 동작구 사당로 215 서림빌딩 3층 303호
내이처럼치과병원,02-525-4275,서울 동작구 동작대로27다길 26 이수프라자 2층
이사랑치과의원,02-522-2875,서울 동작구 사당로 236 2층
바른신치과의원,02-2637-2882,서울 동작구 상도로 346-1 힐스테이트 상도 센트럴파크 상가1동 205~206호
리더스진치과의원,02-823-2828,서울 동작구 상도로 346 우일빌딩 3층
새연세부부치과의원,02-522-1865,서울 동작구 사당로 224 4층
미앤서울치과의원,02-815-2275,서울 동작구 상도로 350
윌튼치과의원,02-812-7582,서울 동작구 상도로37길 76
청아치과의원,02-813-6600,서울 동작구 상도로50길 4 2층
연세하늘치과의원,02-3280-7575,서울 동작구 상도로 360 2층
이수스마트치과,02-533-1028,서울 동작구 동작대로 137 서송타워 5층 501호
새연세치과의원,02-522-1865,서울 동작구 사당로 224 4층
세란치과의원,02-598-1512,서울 동작구 사당로 230-1
더자연치과의원,02-584-2080,서울 동작구 남부순환로 2057 5층
서울더원치과의원,02-6335-2875,"서울 동작구 사당로16길 19 2,3층"
바른윤치과의원,02-521-2882,서울 동작구 남부순환로 2059 3층
양치과의원,02-588-2882,서울 동작구 사당로 244
이수CDC 어린이치과의원,02-598-5275,서울 동작구 동작대로 83 헤라피스빌딩 6층
시카고아이치과,02-3471-9545,서울 동작구 사당로 230 2층
연세미소그린치과,02-813-2275,서울 동작구 상도로37길 74 4층
서울이수플란트치과의원,02-3477-2875,서울 서초구 도구로 95
연세좋은치과의원,02-816-2800,서울 동작구 상도로15길 120 2층
연세제이치과의원,02-815-2875,서울 동작구 만양로 17 탑빌딩 2층
최윤정치과의원,02-523-3991,서울 동작구 남부순환로 2065
상도열린치과의원,02-6674-2828,서울 동작구 상도로15길 143 2층 201호
연세고마운치과의원,02-599-2228,서울 동작구 동작대로 127 3층 A호
따뜻한치과병원,02-523-2835,서울 동작구 동작대로 13 보광빌딩 3층
연세어린이사랑치과,02-813-2870,서울 동작구 상도로 301 의암재빌딩 5층
서울열린치과의원,02-6242-2828,"서울 동작구 동작대로 103 1, 2층"
하늘빛치과의원,02-817-7528,서울 동작구 성대로 52 2층
서울SNU치과의원,02-594-5757,서울 동작구 동작대로 65 YM타워 5층
서울민플러스치과의원,02-822-7522,"서울 동작구 상도로 80 2,3층"
서울이튼치과의원,02-586-7773,서울 동작구 남부순환로 2061
신성치과,02-3487-2870,서울 동작구 동작대로 7 6층
페리오치과,02-3472-2800,서울 동작구 동작대로 85 우석빌딩 6층
연세굿모닝 치과의원,02-823-8275,서울 동작구 양녕로 195 3층
연세베스트덴치과,02-836-2223,"서울 동작구 보라매로5길 51 롯데관악타워 310,311호"
M치과의원,02-581-2879,서울 동작구 남부순환로 2077 건축회관 3층
연세엘라인치과의원,02-3473-2275,서울 동작구 사당로 299 이수텐빌딩 1층
수치과의원,02-826-2878,서울 동작구 양녕로 191
행복한 치과,02-599-2755,서울 동작구 사당로23바길 9 2층
좋은이웃치과의원,02-594-2575,서울 동작구 동작대로 119 금성빌딩 3층
이앤이치과교정과치과의원,02-599-2828,서울 동작구 동작대로 123
보라치과의원,02-586-0863,서울 서초구 동작대로 18 3층
서울원픽치과의원,02-567-5668,서울 서초구 동작대로 50 대일빌딩 5층
연세자연치과의원,02-821-8275,서울 동작구 양녕로 281 상도빌딩 2층
상도행복한아이치과의원,02-823-2882,서울 동작구 상도로 234 3층
명인치과의원,02-841-6661,서울 관악구 보라매로3길 29 3층 110호
이수자연치과의원,02-532-2750,서울 동작구 동작대로27길 31 3층 301호
건강치과의원,02-816-2275,서울 동작구 상도로 297-1 2층
우리들치과의원,02-821-2875,서울 동작구 국사봉1길 3 남지빌딩 5층 502호
내치과의원,02-588-1232,서울 서초구 동작대로 38 우림빌딩 3층
나은치과의원,02-823-7582,서울 동작구 상도로 321 동진빌딩 3층
광덕안정치과의원 이수점,0503-7151-7656,서울 서초구 동작대로 130 3층
연세치과,02-815-2828,서울 동작구 상도로 219 극동빌딩 3층
지영철치과의원,02-532-5775,서울 동작구 동작대로29길 69
밝은미소치과의원,02-825-2080,서울 동작구 성대로1길 2 2층
더윌치과의원,02-3472-7527,서울 동작구 동작대로 21 3층
연세정직한치과의원,02-582-7575,"서울 서초구 과천대로 946 201,202호"
굿모닝치과의원,02-596-7582,서울 동작구 사당로 279 진양빌딩 3층
라움치과의원,02-817-2875,서울 동작구 상도로 94 세인트빌딩 3층
방배본치과의원,02-3482-2804,서울 서초구 동작대로 114 유문빌딩 8층
신상완치과의원,02-6482-2000,서울 서초구 동작대로 68 신진오피스 2층
아름다운미소치과의원,02-822-7525,서울 동작구 양녕로 282-1 구암빌딩 2층
연세좋은치과의원,02-525-2875,서울 서초구 방배천로 5-3 4층
서울안치과의원,02-522-7528,서울 동작구 동작대로 7 산광빌딩 5층
서울뷰치과의원,02-823-2822,서울 동작구 장승배기로 31
청플란트치과의원,02-588-6770,서울 동작구 동작대로 79-1
웃는바른이치과교정과치과의원,02-593-0077,"서울 서초구 서초대로 13 방배마에스트로 1동 2층 201,202호"
전혜림치과,02-587-0028,서울 서초구 효령로 18 3층
그린시카고치과의원,02-564-3883,"서울 동작구 사당로 300 이수자이상가 2층 204,205호"
서울영치과의원,02-814-2855,서울 동작구 상도로 202 2층
하나치과의원,02-711-6133,서울 동작구 성대로 72 지하1층
서울유치과의원,02-591-7528,서울 동작구 동작대로 121 경원빌딩 5층
서울새로치과의원,02-3280-7725,서울 동작구 보라매로 105 3층 303~304호
정&오 치과의원,02-826-2875,서울 동작구 상도로 97 3층
서울이웰치과의원,02-3477-0707,서울 서초구 동작대로 134 가나안빌딩 7층
서울에스치과의원,02-816-7528,서울 동작구 국사봉1길 4 2층
오늘하루치과의원,02-522-2828,"서울 동작구 동작대로 89 골든시네마타워 7층 705,708호"
광림치과의원,02-593-6062,서울 서초구 서초대로 3-4 대우디오슈페리움 1차 308호
권택견치과의원,02-821-0719,서울 동작구 상도로 102 2층
박공현치과의원,02-599-5276,서울 서초구 서초대로 35 한양빌딩 3층
골든시니어치과의원,02-3474-2804,서울 서초구 서초대로 24 새한빌딩 5층
연세W치과,02-822-7529,서울 동작구 보라매로 104 2층
심플인플란트치과의원,02-599-2775,서울 서초구 동작대로 118 예다인프라자빌딩 4층
본치과의원,02-814-2804,서울 동작구 만양로 26 건영아파트상가 301호
연세신나는아이 치과의원,02-599-8227,서울 동작구 동작대로 123 네오시떼빌딩 3층
라라치과의원,02-3280-2275,서울 동작구 상도로 246 더라함빌딩 6층
보라매새이나치과의원,02-6746-2080,서울 동작구 보라매로5가길 7 캐릭터그린빌 2층 211~212호
윤철희치과의원,02-533-7528,서울 동작구 동작대로25길 11
권치과,02-821-0719,서울 동작구 상도로 102
미소치과의원,02-532-4396,서울 동작구 동작대로 89 골든시네마타워 402호
윤영윤치과의원,02-582-6044,서울 동작구 동작대로 89 골든시네마타워 405호
이경수서울치과의원,02-824-8275,서울 동작구 상도로 92 7층
서울하늘치과의원,02-6746-2875,서울 동작구 흑석로 105 2층 3호
미즈필치과의원,02-848-3633,서울 동작구 보라매로5가길 24 보라매나산스위트 204호
서울프라임치과,02-823-0007,서울 동작구 양녕로 264 2층
연세네이버치과교정과 치과의원,02-535-1144,서울 동작구 상도로 252 명승빌딩 4층
이수연세세브란스치과의원,02-592-2275,서울 동작구 동작대로29길 8 2층
방배화이트플란트치과의원,02-533-2080,서울 서초구 동작대로 190 301호
웰치과의원,02-596-7528,서울 서초구 동작대로 108
윤치과의원,02-3280-7939,서울 동작구 여의대방로24길 140
서울미치과,02-821-2175,서울 동작구 보라매로 113 3층
상도연세치과의원,02-825-6642,서울 동작구 양녕로 265 2층
이수치과의원,02-581-7528,서울 서초구 서초대로 6 미송타워 5층
상도이편한치과의원,02-6745-2875,서울 동작구 만양로 6 e편한세상 상도노빌리티 상가동 2층 205~207호
김한욱치과의원,02-824-1683,서울 동작구 성대로 40
세명치과의원,02-825-2804,서울 동작구 서달로 163 세명빌딩 4층
서울통치과,02-525-2815,서울 서초구 동작대로 44 은혜빌딩 4층
호산나치과의원 서울점,02-815-9128,서울 동작구 상도로 242 칠성빌딩 4층
시너지치과의원,02-588-0028,서울 동작구 동작대로 83 헤라피스빌딩 3층
그루터기치과 이수점,02-534-2975,서울 서초구 동작대로 118 방배예다인프라자 5층 504호
정영복치과의원,02-821-1187,서울 동작구 상도로 65 금성빌딩 3층
미서울연세치과,02-599-7528,서울 동작구 동작대로29길 9 2층
최남식치과의원,02-599-3261,서울 서초구 동광로 1
건치과의원,02-815-6934,서울 동작구 상도로 178 5층
동행치과의원,02-6332-2275,서울 동작구 상도로 88 2층
미래열린치과의원,02-824-2875,서울 동작구 서달로 158 2층
아름다운치과의원,02-593-0075,서울 동작구 동작대로 101 3층
문치과의원,02-593-2875,서울 서초구 서초대로 13 방배 마에스트로 지하층 101~102호
유치과의원,02-536-3113,서울 동작구 동작대로 129 이호빌딩 2층 201호
신앤범치과의원,02-813-0507,서울 동작구 장승배기로 118-1 2층
유동기치과의원,02-833-6969,서울 동작구 보라매로5가길 16 501호
웰플란트치과의원,02-822-0044,서울 동작구 상도로 207 상도효성해링턴플레이스 상가 2층
라임프로치과의원,1588-9396,"서울 서초구 서초대로 3-4 디오슈페리움1차 3층 301,309호"
연세 꿈사랑아이치과의원,02-844-4500,서울 동작구 보라매로5가길 16 보라매아카데미타워 6층 12호
연세에이스치과의원,02-816-4338,서울 동작구 장승배기로 76 3층
서울좋은치주치과의원,02-3280-2879,서울 동작구 상도로 216 인경빌딩 5층
연세봄이오는치과의원,02-813-2824,서울 동작구 상도로 176 영도빌딩 3층
나노라이너치과교정과치과의원,02-3280-2804,서울 동작구 여의대방로22길 40 더룩스보라매 2층
플란시아치과의원,02-3487-2878,서울 동작구 상도로 81 성모빌딩 3층 301호
이튼치과의원,02-816-1616,서울 동작구 흑석한강로 27 106동 B101호
이수안심치과의원,02-533-2833,서울 동작구 동작대로29길 36 4층 401호
서울고치과의원,02-813-9028,서울 동작구 서달로 166 덕봉빌딩 2층
서울마음치과의원,02-6953-2275,서울 동작구 만양로 11 2층 201호
윤희중치과의원,02-821-7939,서울 동작구 보라매로 96-1
킴스치과의원,02-599-5005,서울 서초구 동작대로 120 성산빌딩 3층
연세스마트치과의원,02-6953-2300,서울 동작구 상도로 69 상원빌딩 2층 203호
보스톤은세치과의원,02-537-5471,서울 서초구 서초대로 3-4 디오슈페리움1 413호
이선복치과의원,02-823-4632,서울 동작구 장승배기로 71 2층
우리들강치과의원,02-821-2878,서울 동작구 국사봉1길 3 5층 501호
그린필치과,02-825-2875,서울 동작구 국사봉길 2 2층
미래치과의원,02-532-4396,서울 동작구 동작대로 89
신원치과의원,02-823-7528,서울 동작구 장승배기로 75 3층
이용을치과의원,02-889-2871,서울 동작구 상도로 153 혜현빌딩 4층
화이트연세치과의원,02-812-7528,서울 동작구 상도로 174 동서남북빌딩 6층
이화치과,02-814-7364,서울 동작구 양녕로38길 2 1층
원플란트치과의원,02-823-3242,서울 동작구 성대로 5 3층
황인대치과,02-599-2875,서울 동작구 동작대로 109 경문빌딩 2층 201호
어울림치과의원,02-3482-3328,서울 동작구 동작대로 141 2층
미담치과의원,02-817-2972,서울 동작구 상도로 192 2층
