상호명,전화번호,주소,평점,리뷰수,홈페이지
홍안과의원,053-356-1040,대구 북구 침산로 138 명성프라임 3층 301호,3.5,0,#none
제니스안과의원,053-743-1828,대구 수성구 달구벌대로 2435 두산위브더제니스 3층,3.1,0,#none
이종화 안과의원,053-964-2445,대구 동구 반야월로 108 2층,5.0,0,#none
가톨릭연합안과의원,053-963-0075,대구 동구 안심로 106 2층 203호,2.9,0,#none
심청안과의원,053-572-4200,대구 서구 달구벌대로361길 1 대구N타워 4층,2.0,0,https://blog.naver.com/simcheongeye
율하삼성안과의원,053-964-8575,대구 동구 안심로22길 60 동흥메디칼 3층 301호,0.0,0,#none
중앙안과의원,053-587-3338,대구 달서구 성서로 420 메가타운 4층,3.6,0,#none
서남안과의원,053-555-1500,대구 달서구 달구벌대로 1659 3층,3.7,0,#none
맑은눈안과의원,053-356-4600,대구 서구 팔달로 164 4층,1.6,0,#none
가톨릭안과의원,053-591-6006,대구 달서구 계대동문로 120 3층,2.4,0,#none
성모안과의원,053-632-5505,대구 달성군 화원읍 비슬로 2581,5.0,0,#none
드림안과의원,053-781-7500,대구 수성구 지범로 200 5층 502호,2.5,0,#none
현풍양안과의원,053-615-8875,대구 달성군 현풍읍 현풍중앙로 42 2층,1.0,0,#none
홍승표안과의원,053-766-7525,대구 수성구 청수로 186 라파엘클리닉빌딩 3층,4.6,0,#none
미소안과,053-643-5575,대구 달서구 월배로 175,3.5,0,#none
현대안과의원,053-744-8414,대구 수성구 달구벌대로 2578,1.8,0,#none
서울안과의원,053-568-1010,대구 달서구 달구벌대로 1545 6층 604호,2.2,0,#none
밝은안과의원,053-566-7575,대구 서구 달서로 188,2.3,0,#none
칠곡명안과의원,053-314-8275,대구 북구 학정로 429 301호,3.5,0,#none
온누리안과,053-642-0537,대구 달서구 월배로 92 2층,3.0,0,#none
아이엠안과의원,053-791-3188,대구 수성구 달구벌대로 3188 아레나스포츠센터 4층 4-1호,,0,https://blog.naver.com/eyemclinic
대구명안과의원,053-285-8000,대구 달서구 달구벌대로 1542 6층,2.0,0,http://www.my-eye.kr
아이굿안과의원,053-781-2345,대구 수성구 지범로 199 7-8층,4.0,0,#none
수성안과의원,053-792-0075,대구 수성구 달구벌대로 2288,3.9,0,#none
한영안과의원,053-254-5324,대구 중구 국채보상로 542 2층,4.7,0,#none
동산안과,053-323-9691,대구 북구 칠곡중앙대로 404 메디팜빌딩 4층 401호,1.6,0,#none
시지제일안과의원,053-794-5771,대구 수성구 달구벌대로 3206 3층,1.8,0,#none
이종훈안과의원,053-561-2300,대구 서구 북비산로 359,3.0,0,#none
허진호안과의원,053-981-6220,대구 동구 동촌로 228-1 3층,5.0,0,#none
세강안과,053-629-7050,대구 달서구 구마로 224 2층,2.0,0,#none
씨엘안과의원,053-256-7407,대구 중구 달구벌대로 2105 7층,1.0,0,http://www.new-eye.co.kr/
우리안과의원,053-521-6700,대구 달서구 용산로 141,3.2,0,#none
유안과의원,053-254-5105,대구 중구 국채보상로 540 1층,5.0,0,#none
프라자안과의원,053-766-7979,"대구 수성구 명덕로 368 우방한가람타운상가 2층 211, 215, 216호",1.0,0,#none
김성훈안과의원,053-639-0075,대구 달성군 화원읍 비슬로 2723 3층 302호,2.3,0,#none
수안과의원,053-959-7575,대구 수성구 달구벌대로 2606 만촌역서한포레스트 상가 2층 203호,5.0,0,https://blog.naver.com/sueye7575
김기산안과,053-257-8875,대구 중구 달구벌대로 2126 9층,3.7,0,#none
황준구안과의원,053-634-1314,대구 달서구 도원로 29,4.3,0,#none
최창현안과,053-793-1174,대구 수성구 달구벌대로 3204,4.0,0,#none
김인택안과의원,053-255-3800,대구 중구 동덕로 91,3.8,0,#none
영남안과의원,053-566-5063,대구 달서구 달구벌대로 1637 3층,5.0,0,#none
정안과의원,053-782-6001,대구 수성구 지범로 181 3층,1.0,0,#none
신동수안과의원,053-558-7582,대구 중구 국채보상로 447,3.7,0,#none
정화선안과,053-421-8008,대구 중구 달구벌대로 2191 5층,4.0,0,#none
남&김안과의원,053-784-7677,"대구 수성구 지범로 188 404호 (범물동,리빙월드)",2.7,0,#none
영남대학교병원 안센터,053-620-3250,대구 남구 현충로 170,0.0,0,https://yumc.ac.kr:8443/medical/main.do?clubid=ALN770WG
하이빛안과의원,053-743-7575,대구 수성구 동대구로 300 범어롯데캐슬 401동 402~403호,5.0,0,https://www.instagram.com/highlighteyeclinic/
참밝은안과,053-657-0075,대구 달서구 당산로 88 3층,5.0,0,#none
경북대학교병원 안과,053-200-5801,대구 중구 동덕로 130,5.0,0,https://www.knuh.kr
심청안과,053-572-4200,대구 달서구 달구벌대로 1896 3층,0.0,0,#none
대구의료원 안과,053-560-7254,대구 서구 평리로 157,0.0,0,#none
한승욱안과의원,053-559-8008,대구 서구 달구벌대로 1867 2층,4.0,0,#none
한일안과의원,053-425-4820,대구 중구 국채보상로 550,1.0,0,#none
박안과의원,053-424-2088,대구 중구 국채보상로 701-1 1층,4.0,0,#none
남안과의원,053-784-7677,대구 수성구 지범로 188,0.0,0,#none
윤정우안과의원,053-255-1911,대구 중구 국채보상로 564,0.0,0,#none
박영우안과동물병원,053-254-7599,대구 중구 달구벌대로 2208 5층,,0,#none
누네안과 제2주차장,1661-1175,대구 중구 동덕로 103,0.0,0,#none
한승욱안과의원,053-559-8009,대구 서구 달구벌대로 1735,0.0,0,#none
아이빌리브안과의원,053-939-3375,대구 달서구 와룡로 186,0.0,0,#none
화이트의원,053-475-7582,대구 중구 동성로3길 20 디스퀘어 3층,0.0,0,http://www.whiteeye.co.kr/
투썸플레이스 대구누네안과병원점,053-252-1104,대구 중구 달구벌대로 2179 1층,3.0,0,https://www.twosome.co.kr
대구제일안과병원 전기차충전소,1660-0365,대구 동구 아양로 1 지상1층 건물좌측 출입구쪽 주차장,0.0,0,#none
윤정우안과의원,053-255-1911,대구 중구 국채보상로 564,0.0,0,#none
박영우안과동물병원,053-254-7599,대구 중구 달구벌대로 2208 5층,,0,#none
누네안과 제2주차장,1661-1175,대구 중구 동덕로 103,0.0,0,#none
한승욱안과의원,053-559-8009,대구 서구 달구벌대로 1735,0.0,0,#none
아이빌리브안과의원,053-939-3375,대구 달서구 와룡로 186,0.0,0,#none
화이트의원,053-475-7582,대구 중구 동성로3길 20 디스퀘어 3층,0.0,0,http://www.whiteeye.co.kr/
투썸플레이스 대구누네안과병원점,053-252-1104,대구 중구 달구벌대로 2179 1층,3.0,0,https://www.twosome.co.kr
대구제일안과병원 전기차충전소,1660-0365,대구 동구 아양로 1 지상1층 건물좌측 출입구쪽 주차장,0.0,0,#none
